arsitektur,nama_file_asli,kategori,segmentasi_terdeteksi,path_hasil_crop
MobileViT,C7P33E1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileViT\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C7P33E1.jpg
MobileViT,C2P16H2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileViT\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C2P16H2.jpg
MobileViT,C2P22H1.jpg,FP_sehat_dikira_sakit,berhasil,analisis_error_pipeline\MobileViT\FP_sehat_dikira_sakit\FP_sehat_dikira_sakit_C2P22H1.jpg
MobileViT,C5P11E1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileViT\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C5P11E1.jpg
MobileViT,C5P11H1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileViT\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C5P11H1.jpg
MobileViT,C11P23E1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileViT\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C11P23E1.jpg
MobileViT,C2P28E2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileViT\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C2P28E2.jpg
MobileViT,C12P1E1.jpg,FP_sehat_dikira_sakit,berhasil,analisis_error_pipeline\MobileViT\FP_sehat_dikira_sakit\FP_sehat_dikira_sakit_C12P1E1.jpg
MobileViT,C10P17H1.jpg,FP_sehat_dikira_sakit,berhasil,analisis_error_pipeline\MobileViT\FP_sehat_dikira_sakit\FP_sehat_dikira_sakit_C10P17H1.jpg
MobileNetV2,C10P25H2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C10P25H2.jpg
MobileNetV2,C7P33E1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C7P33E1.jpg
MobileNetV2,C7P33H1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C7P33H1.jpg
MobileNetV2,C4P18E2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C4P18E2.jpg
MobileNetV2,C4P25E2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C4P25E2.jpg
MobileNetV2,C6P28H2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C6P28H2.jpg
MobileNetV2,C6P28E2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C6P28E2.jpg
MobileNetV2,C2P16H2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C2P16H2.jpg
MobileNetV2,C2P8H2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C2P8H2.jpg
MobileNetV2,C6P29E1.jpg,FP_sehat_dikira_sakit,berhasil,analisis_error_pipeline\MobileNetV2\FP_sehat_dikira_sakit\FP_sehat_dikira_sakit_C6P29E1.jpg
MobileNetV2,C9P20E1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C9P20E1.jpg
MobileNetV2,C5P11E1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C5P11E1.jpg
MobileNetV2,C5P11H1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C5P11H1.jpg
MobileNetV2,C11P32E2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C11P32E2.jpg
MobileNetV2,C11P32H2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C11P32H2.jpg
MobileNetV2,C4P10E2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C4P10E2.jpg
MobileNetV2,C11P23E1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C11P23E1.jpg
MobileNetV2,C2P28E1.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C2P28E1.jpg
MobileNetV2,C2P28E2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C2P28E2.jpg
MobileNetV2,C11P6E2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C11P6E2.jpg
MobileNetV2,C10P17E2.jpg,FN_sakit_dikira_sehat,berhasil,analisis_error_pipeline\MobileNetV2\FN_sakit_dikira_sehat\FN_sakit_dikira_sehat_C10P17E2.jpg
